province,id,Year,Pop,CBR
Hubei,42,2013,5799.00,11.08
Hunan,43,2013,6690.60,13.50
Guangdong,44,2013,10644.00,10.71
Guangxi,45,2013,4719.00,14.28
Hainan,46,2013,895.28,14.59
Chongqing,50,2013,2970.00,10.37
Sichuan,51,2013,8107.00,9.90
Guizhou,52,2013,3502.22,13.05
Yunnan,53,2013,4686.60,12.60
Tibet,54,2013,312.04,15.77
Shaanxi,61,2013,3764.00,10.01
Gansu,62,2013,2582.18,12.16
Qinghai,63,2013,577.79,14.16
Ningxia,64,2013,654.19,13.12
Xinjiang,65,2013,2264.30,15.84
