time,Anhui_CN340,Anhui_CN341,Beijing_CN110,Chongqing_CN500,Fujian_CN350,Gansu_CN620,Gansu_CN621,Guangdong_CN440,Guangdong_CN441,Guangdong_CN442,Guangxi_CN450,Guangxi_CN451,Guizhou_CN520,Hainan_CN460,Hainan_CN461,Hebei_CN130,Hebei_CN131,Heilongjiang_CN230,Heilongjiang_CN231,Henan_CN410,Henan_CN411,Hong_CN810,Hubei_CN420,Hubei_CN421,Hunan_CN430,Hunan_CN431,Inner_CN150,Inner_CN151,Jiangsu_CN320,Jiangsu_CN321,Jiangxi_CN360,Jiangxi_CN361,Jilin_CN220,Liaoning_CN210,Liaoning_CN211,Macao_CN820,Ningxia_CN640,Qinghai_CN630,Shaanxi_CN610,Shaanxi_CN611,Shandong_CN370,Shandong_CN371,Shanghai_CN310,Shanxi_CN140,Shanxi_CN141,Sichuan_CN510,Sichuan_CN511,Sichuan_CN512,Taiwan_CN710,Tianjin_CN120,Tibet_CN540,Xinjiang_CN650,Xinjiang_CN651,Yunnan_CN530,Yunnan_CN531,Zhejiang_CN330,Zhejiang_CN331
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.027839248761136335,0.05143901403348893,0.0,0.14515125747583424,0.0,0.0,0.0,0.0,0.26439754827625317,0.0,0.0,0.0,3.5669574905692734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012665437470791536,0.0005356104671931856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025760083674261615,0.06586939458610504,0.0,0.0010204583413247965,0.0,0.0,0.0,0.0,0.0,0.031055112231195565,0.0657217199926783,0.2203500368960237,0.0,0.0,0.5634676794494659,0.11352674337149721,0.1729252500672663,0.18761445163983564,0.06341271437673068,0.0,0.0
2009-01-02,0.0,0.0,0.17356190712263064,0.0,0.0,0.06552718245487088,0.06009721912859756,0.0,0.0,0.0,0.0,0.0,0.06378734582990461,0.2867072435443139,1.4782997745553743,0.014459163713658622,0.03042554138312134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011792842743451423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007245848937229319,0.07704344477888268,0.026515881512228025,0.0,0.0,0.0,0.0,0.0008586198827659195,0.0,0.15331842819039043,0.1277092667971113,0.007971204555610453,1.1842362153402801,0.019916346485158807,0.27376788213897946,0.07468840013183552,0.34656081981249925,2.744763732419944,2.134870969037964,0.0,0.0
2009-01-03,0.0,0.08105392033209717,0.0,0.010407845481871326,0.04013972790950828,0.03326271694929218,0.03979240406241078,0.052211507412648406,0.040301560507338796,0.0,0.021469868633952106,0.019908963940688112,0.0,0.07888450938680809,0.0,0.0058014336552763635,0.0,0.00044274495175359793,0.0005375577546869331,0.03165806580635437,0.0025306191713774617,0.0,0.0015727331892805808,0.0,0.0865489354737449,0.5199843304722308,0.0013271074624308533,3.4712580689802276e-05,0.0,0.0,1.351677349828223,3.184506441906933,0.0012483289048152808,0.016201754045002993,0.022859073594007726,0.0,0.009333980349700823,0.05828826019967424,0.09346794208942565,0.014067014640015831,0.0004180948991578041,0.0,0.0,0.03339823346069485,0.021135801907135203,0.264860643306052,0.3975059032221768,0.0,0.04062688742183479,0.0,0.31563108873931767,0.14765462151809808,0.3946111312511639,0.004666810857597073,0.0,0.10528772597503328,0.0
2009-01-04,0.0,0.0,0.0,1.070170964566774,0.12242644646844929,0.03656231615117925,0.05962191296409824,0.09137419392736568,0.010987755423722295,0.0,0.021330154054418037,0.0,0.09857368367935979,0.0,0.0,0.0,0.0,0.0,0.0,0.028763930771368514,0.012722958992586136,0.0,0.8579669160031191,0.5539031030722092,0.0,0.052482618335360734,0.0001557694593242757,0.0,0.0,0.0,0.004271373023634249,0.0,0.0,0.0,0.0,0.0,0.06957641777003021,0.07917568117425762,0.08496173659750467,0.0,0.0,0.0,0.05167060328753319,0.027459654670369132,0.14689013161432016,0.313931056589837,0.561191368678445,0.9212484270523706,0.511060233586531,0.0,0.6518374554231181,0.2610324735083064,0.4238028986882366,0.0008541027301977575,0.20225402024120157,0.36383447065370217,0.06651950472692472
2009-01-05,0.22884342825021525,0.2534291642476993,0.0,0.15644388305261217,2.404135320192276,0.1028673926619196,0.06829646128271606,0.20250765689703007,0.11669600342406122,0.30968371628698504,2.734634467246254,2.0297995797933885,5.290460870834902,0.0,0.07300326640343871,0.001796626706176129,0.0,0.00034589679385379677,0.0,0.018544796472160275,0.09694917010821189,0.0,0.027578597358769472,0.11639269786364498,4.267329960154208,2.2886129611929493,0.0017220696197865005,0.0,0.008726214019741036,0.003821431798813756,1.4874254723359694,0.33892984465778836,0.0,0.0,0.0,0.0,0.02038501544774638,0.13085471254511435,0.04556859266828776,0.0,0.005410179328117849,0.0,0.0,0.02304930745384791,0.0,0.0998884894138696,0.38617344397422637,0.0,1.951500503582758,0.0,0.3156299147471028,0.0615011275212186,0.045621218416536026,0.03749394955379918,0.6128529173969557,0.04645906046197466,0.5590624897678313
2009-01-06,0.0,0.19577773760164677,0.0,0.029524192792582546,1.5832427184232627,0.05404007337108104,0.11166201163744616,0.025144833096864654,0.19077818270974609,0.0,2.1361027044566256,0.732445973265163,2.0507963876262965,0.44598946204097323,1.9361716164931033,0.011937136195629484,0.0,0.0,0.0,0.06769415493873894,0.052163243470417016,0.0,0.0,0.005908654614874116,4.702980742715633,3.910912097758405,0.007121271639375438,0.0,0.0,0.0,4.03642070371956,4.87810507336091,0.0,0.0,0.0,0.0,0.015034023292232964,0.05593799991994636,0.08486745100046661,0.002432397111235117,0.013549116129815308,0.0003086590840915686,0.07933892887534857,0.019162184783214332,0.16684617629624554,0.07467692459077531,0.20028749107491367,0.0,0.6683851992385449,0.0,0.07756308136120124,0.014729804054274102,0.06528732576705513,0.07256105460688342,0.21455459922699147,1.742333668849165,0.886242535638732
2009-01-07,0.0,0.0,0.00830447121240316,0.0010433271682396526,0.635295495580094,0.0005487567455726716,0.0,0.024877880881272435,0.625345732015631,0.0,0.1114988929713536,0.15419973758061628,0.0,0.0,0.0,0.0006301749722446129,0.03428305084487276,0.0007371831704315827,6.980261655806278e-05,0.012407166635896057,0.0005830493620425142,0.0,0.0,0.0,0.48514323483636346,0.3333953864928422,0.0002956266967603912,0.0008708138799513232,0.0,0.0,0.4538642677255978,0.1886770267350682,0.0,0.0,0.0,0.0,0.001459995338471633,0.024796116861114582,0.0014491611099521442,0.0,0.0,0.0,0.0,0.00874789936729934,0.008477472148773427,0.01948858011722729,0.02478041769261074,0.0,0.8284497713952469,0.0,0.0721836591861815,0.06352149940176174,0.10571588142752954,0.26960231763828096,0.11161420204503408,0.2631341503202448,0.7751567499876736
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0016878866598746675,3.358656008406257e-05,0.0,0.09155150389173489,0.0,0.05467639687800152,0.25337030961912366,0.0,0.0,0.0,0.0,0.0,0.0,0.0001960427488400902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001815746165408966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013992992166747344,0.0,0.0,0.0,0.0,0.0,0.0006600362121165844,0.0,0.0007838960625897988,0.0,0.0,1.0123098067310847,0.0,0.14495827072305886,0.03570619119924096,0.062069705049435014,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0006979350965732868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06864515505149707,0.08351887085662449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007196284795053375,0.04820549889321771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014197766642404143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116143378346895,0.0006328475251694736,0.0,0.0,0.0,0.15963544384164335,0.03535354977991593,0.2192589057157516,0.0,0.0,0.0,0.0
2009-01-10,0.0,0.0,0.013196808478885333,0.0,0.0,0.0004042981221711991,0.0,0.0,0.001761539028277069,0.0,0.0,0.0,0.0,0.0,0.0,0.008670244071966971,0.0,1.0164670784326748,1.9570327143750599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036742805045583436,0.001481517331105638,0.0,0.0,0.0,0.0,0.01653583429323293,0.0009379045243931647,0.0,0.0,0.00328497044416929,0.02413808469671975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002932725986695753,0.0,0.0,0.0,0.0,0.10578664010890584,0.11089591985652981,0.28512783103644207,0.0,0.0,0.0,0.0
