PROV_ID,YEAR,WEEK,EVA71,CVA16,OTHER
11,2013,4,5,5,1
11,2013,5,5,4,1
11,2013,6,4,3,1
11,2013,7,4,3,1
11,2013,8,11,8,3
11,2013,9,8,6,11
11,2013,10,13,10,18
11,2013,11,18,14,25
11,2013,12,27,20,37
11,2013,13,54,36,79
11,2013,14,68,45,101
11,2013,15,87,57,128
11,2013,16,98,65,145
11,2013,17,116,52,241
11,2013,18,134,60,279
11,2013,19,164,74,341
11,2013,20,164,74,342
11,2013,21,241,101,386
11,2013,22,286,120,458
11,2013,23,330,139,529
11,2013,24,456,192,731
11,2013,25,425,184,641
11,2013,26,493,214,743
11,2013,27,629,273,948
11,2013,28,531,230,800
11,2013,29,377,273,611
11,2013,30,272,197,441
11,2013,31,209,151,338
11,2013,32,177,128,287
11,2013,33,135,89,196
11,2013,34,115,76,167
11,2013,35,81,54,118
11,2013,36,63,41,91
11,2013,37,48,65,73
11,2013,38,54,74,82
11,2013,39,51,70,78
11,2013,40,46,63,70
11,2013,41,53,60,54
11,2013,42,51,58,52
11,2013,43,52,59,53
11,2013,44,50,57,51
11,2013,45,49,69,73
11,2013,46,54,76,80
11,2013,47,45,63,67
11,2013,48,35,49,52
11,2013,49,36,38,27
11,2013,50,29,31,22
11,2013,51,22,24,17
11,2013,52,19,20,15
11,2013,53,4,5,3
12,2009,1,3,4,0
12,2009,2,4,6,0
12,2009,3,2,2,0
12,2009,4,1,2,0
12,2009,5,1,0,0
12,2009,6,6,0,0
12,2009,7,5,0,0
12,2009,8,8,0,0
12,2009,9,4,6,0
12,2009,10,7,10,1
12,2009,11,10,15,1
12,2009,12,16,23,2
12,2009,13,24,19,8
12,2009,14,35,28,12
12,2009,15,47,38,16
12,2009,16,71,57,24
12,2009,17,107,86,23
12,2009,18,106,85,23
12,2009,19,110,88,23
12,2009,20,112,90,24
12,2009,21,117,105,28
12,2009,22,136,121,32
12,2009,23,121,108,29
12,2009,24,130,117,31
12,2009,25,137,120,61
12,2009,26,154,134,68
12,2009,27,121,105,53
12,2009,28,124,108,55
12,2009,29,138,104,35
12,2009,30,127,96,33
12,2009,31,120,91,31
12,2009,32,119,90,31
12,2009,33,78,104,34
12,2009,34,55,74,24
12,2009,35,60,80,26
12,2009,36,51,68,22
12,2009,37,66,104,26
12,2009,38,68,107,27
12,2009,39,67,105,26
12,2009,40,68,107,27
12,2009,41,86,67,19
12,2009,42,69,53,16
12,2009,43,88,68,20
12,2009,44,64,49,14
12,2009,45,44,103,44
12,2009,46,32,75,32
12,2009,47,18,42,18
12,2009,48,11,27,11
12,2009,49,11,38,6
12,2009,50,10,33,5
12,2009,51,9,31,5
12,2009,52,7,24,4
12,2009,53,2,3,1
12,2010,1,2,3,1
12,2010,2,1,2,0
12,2010,3,1,2,0
12,2010,4,0,1,1
12,2010,5,0,0,0
12,2010,6,0,0,0
12,2010,7,0,0,0
12,2010,8,2,2,0
12,2010,9,3,4,1
12,2010,10,4,5,1
12,2010,11,5,6,1
12,2010,12,8,17,8
12,2010,13,10,22,10
12,2010,14,12,26,12
12,2010,15,29,62,29
12,2010,16,56,59,22
12,2010,17,72,77,29
12,2010,18,86,91,34
12,2010,19,127,135,51
12,2010,20,187,151,108
12,2010,21,246,198,142
12,2010,22,392,316,227
12,2010,23,482,389,279
12,2010,24,552,308,319
12,2010,25,583,326,338
12,2010,26,584,327,338
12,2010,27,479,268,277
12,2010,28,311,191,210
12,2010,29,281,172,189
12,2010,30,245,150,165
12,2010,31,171,105,115
12,2010,32,109,88,63
12,2010,33,84,68,49
12,2010,34,71,57,41
12,2010,35,56,45,33
12,2010,36,79,88,47
12,2010,37,59,66,35
12,2010,38,56,63,33
12,2010,39,47,53,28
12,2010,40,44,35,19
12,2010,41,43,34,18
12,2010,42,47,37,20
12,2010,43,54,42,23
12,2010,44,76,55,35
12,2010,45,75,55,35
12,2010,46,66,48,30
12,2010,47,58,42,27
12,2010,48,54,18,17
12,2010,49,42,14,13
12,2010,50,38,13,12
12,2010,51,22,8,7
12,2010,52,10,16,9
12,2011,1,4,6,3
12,2011,2,3,4,2
12,2011,3,2,3,2
12,2011,4,3,0,1
12,2011,5,0,0,0
12,2011,6,1,0,0
12,2011,7,1,0,0
12,2011,8,1,1,0
12,2011,9,2,1,0
12,2011,10,3,2,1
12,2011,11,4,3,1
12,2011,12,5,2,3
12,2011,13,5,2,3
12,2011,14,7,3,4
12,2011,15,16,7,8
